ticker,event_time_ms,price,bid,ask,volume,label
AAPL,1789479000014,330.26,330.2462,330.2738,7556,normal
AAPL,1789479000746,330.4082,330.4032,330.4132,2730,normal
AAPL,1789479001535,330.4091,330.4041,330.4141,9962,normal
AAPL,1789479002237,330.5923,330.5873,330.5973,8310,normal
AAPL,1789479002996,330.9784,330.9734,330.9834,16997,normal
AAPL,1789479003832,330.9571,330.9521,330.9621,25859,normal
AAPL,1789479004544,330.9358,330.9247,330.9468,29296,normal
AAPL,1789479005279,331.13,331.125,331.135,13474,normal
AAPL,1789479006077,331.13,331.1235,331.1365,9603,normal
AAPL,1789479006859,331.13,331.1169,331.1431,8744,normal
AAPL,1789479007562,331.13,331.125,331.135,367,normal
AAPL,1789479008361,331.13,331.1173,331.1427,15243,normal
AAPL,1789479009065,331.13,331.124,331.136,16438,normal
AAPL,1789479009820,331.13,331.125,331.135,10343,normal
AAPL,1789479010626,331.13,331.1188,331.1412,5107,normal
AAPL,1789479011385,330.7908,330.7805,330.8012,29837,normal
AAPL,1789479012153,330.6935,330.68,330.7069,11628,normal
AAPL,1789479012920,330.4916,330.4799,330.5033,2161,normal
AAPL,1789479013703,330.5975,330.5849,330.61,12756,normal
AAPL,1789479014415,330.4199,330.4139,330.426,8268,normal
AAPL,1789479015154,330.1255,330.1205,330.1305,16722,normal
AAPL,1789479015959,330.4983,330.4864,330.5102,9584,normal
AAPL,1789479016665,330.4789,330.4663,330.4915,15182,normal
AAPL,1789479017440,330.5276,330.5127,330.5425,11729,normal
AAPL,1789479018162,330.2302,330.2226,330.2379,6035,normal
AAPL,1789479018915,330.137,330.1299,330.1442,20365,normal
AAPL,1789479019766,330.1957,330.1835,330.2079,29858,normal
AAPL,1789479020512,329.9618,329.9551,329.9686,29640,normal
AAPL,1789479021256,330.0819,330.0678,330.0961,7838,normal
AAPL,1789479021985,329.9757,329.9624,329.9889,22402,normal
AAPL,1789479022720,329.941,329.9332,329.9489,35271,normal
AAPL,1789479023476,329.8345,329.8226,329.8464,21714,normal
AAPL,1789479024244,330.297,330.285,330.3089,18777,normal
AAPL,1789479025032,330.3268,330.3218,330.3318,3779,normal
AAPL,1789479025806,330.1146,330.1008,330.1284,18423,normal
AAPL,1789479026559,330.3383,330.3295,330.3471,10386,normal
AAPL,1789479027279,330.0882,330.0754,330.101,8828,normal
AAPL,1789479028105,330.1696,330.1631,330.1761,17642,normal
AAPL,1789479028841,329.7483,329.7346,329.762,29162,normal
AAPL,1789479029581,329.4733,329.4659,329.4807,53532,normal
AAPL,1789479030345,329.5519,329.5469,329.5569,2924,normal
AAPL,1789479031084,329.7561,329.7423,329.77,26364,normal
AAPL,1789479031825,329.8289,329.8239,329.8339,18388,normal
AAPL,1789479032593,329.835,329.8285,329.8415,26778,normal
AAPL,1789479033392,329.7982,329.7838,329.8126,13987,normal
AAPL,1789479034075,329.4884,329.474,329.5028,21357,normal
AAPL,1789479034844,329.3545,329.3448,329.3642,13467,normal
AAPL,1789479035595,329.2807,329.2703,329.2911,3805,normal
AAPL,1789479036352,329.5588,329.5507,329.5669,19861,normal
AAPL,1789479037192,329.6714,329.6653,329.6776,5048,normal
AAPL,1789479037935,329.2957,329.2891,329.3023,20323,normal
AAPL,1789479038670,329.3992846248852,329.3883846248852,329.4101846248852,359480,wash_trade
AAPL,1789479039391,329.40234242837386,329.39044242837383,329.4142424283739,61286,normal
AAPL,1789479040188,329.4029474003965,329.3905474003965,329.4153474003965,92665,normal
AAPL,1789479040944,329.40111699779794,329.3887669977979,329.41346699779797,223065,normal
AAPL,1789479041672,329.3985851916832,329.3935851916832,329.4035851916832,125499,normal
AAPL,1789479042457,329.40430433257035,329.3956043325703,329.4130043325704,643261,normal
AAPL,1789479043211,329.4060039199622,329.4010039199622,329.4110039199622,110714,normal
AAPL,1789479043991,329.40271938494726,329.3933193849473,329.41211938494723,49682,normal
AAPL,1789479044751,329.8288,329.8208,329.8368,23167,normal
AAPL,1789479045450,330.088,330.0744,330.1016,10698,normal
AAPL,1789479046241,330.0099,330.003,330.0167,19936,normal
AAPL,1789479047024,329.9998,329.9948,330.0048,8126,normal
AAPL,1789479047770,329.7763,329.7713,329.7813,20416,normal
AAPL,1789479048564,329.5319,329.5199,329.5439,5197,normal
AAPL,1789479049302,329.7533,329.7431,329.7635,7702,normal
AAPL,1789479050010,330.1007,330.0957,330.1057,18541,normal
AAPL,1789479050759,330.117,330.112,330.122,36350,normal
AAPL,1789479051575,330.3827,330.3714,330.394,24336,normal
AAPL,1789479052271,330.4995,330.4945,330.5045,12272,normal
AAPL,1789479053085,330.3829,330.3702,330.3957,5024,normal
AAPL,1789479053879,330.4997,330.4884,330.5111,29466,normal
AAPL,1789479054600,330.8893,330.8843,330.8943,14802,normal
AAPL,1789479055340,330.914,330.909,330.919,14306,normal
AAPL,1789479056123,331.13,331.1152,331.1448,30407,normal
AAPL,1789479056863,330.7353,330.7282,330.7425,11863,normal
AAPL,1789479057630,330.9589,330.9518,330.966,14049,normal
AAPL,1789479058427,331.0121,330.9994,331.0247,13480,normal
AAPL,1789479059130,330.9757,330.9614,330.9901,13369,normal
AAPL,1789479059946,331.03,331.0152,331.0448,5578,normal
AAPL,1789479060050,330.96,330.955,330.965,7553,normal
AAPL,1789479062059,330.8991,330.8941,330.9041,400,normal
AAPL,1789479064141,330.93,330.925,330.935,2805,normal
AAPL,1789479066233,330.8068,330.8008,330.8128,5599,normal
AAPL,1789479068260,330.8473,330.8423,330.8523,14211,normal
AAPL,1789479070348,330.8028,330.7978,330.8078,1968,normal
AAPL,1789479072437,330.7719,330.7669,330.7769,6219,normal
AAPL,1789479074511,330.7101,330.7019,330.7184,1244,normal
AAPL,1789479076496,330.6772,330.6721,330.6823,13882,normal
AAPL,1789479078639,330.7041,330.697,330.7112,9645,normal
AAPL,1789479080660,330.7083,330.6995,330.7171,2949,normal
AAPL,1789479082702,330.6999,330.6888,330.7111,10679,normal
AAPL,1789479084787,330.6732,330.6682,330.6782,3970,normal
AAPL,1789479086905,330.5768,330.5643,330.5893,9984,normal
AAPL,1789479088921,330.5077,330.4974,330.5181,4362,normal
AAPL,1789479090970,330.4614,330.4564,330.4664,4505,normal
